avg_r2,median_r2,adf_stat,adf_p_value,residual_obs,asset,trades,active_days
0.9475789092030092,0.9467651984227011,-7.984460822261684,2.571104152445763e-12,431.0,MSTR,24,73
0.9063618428208662,0.9105233929478863,-8.14300288842661,1.0162486940859738e-12,431.0,COIN,28,66
0.8652176561548208,0.8654222784805868,-5.438373674038195,2.812128409798425e-06,431.0,MARA,22,76
0.8639026608527203,0.8605727310965471,-5.006622183321454,2.1533073963683992e-05,431.0,RIOT,22,106
0.8362813238109809,0.8364832102766371,-5.484200594110101,2.249014042051595e-06,431.0,CLSK,23,97
0.7127481189265996,0.7280639171927742,-7.296524878363065,1.3733691089287452e-10,431.0,HOOD,20,40
0.7167615626352438,0.734905795437909,-8.221987330158079,6.393052807155052e-13,431.0,SQ,18,56
0.6231932675449792,0.623906740247973,-7.591434305048892,2.525285395078539e-11,431.0,SOL,24,56
0.6512721491618534,0.6612877326483914,-7.618077708262162,2.1649127222222176e-11,431.0,BNB,26,63
0.5333794910187878,0.5461631317851947,-7.21891110477666,2.1367697815740004e-10,431.0,ADA,30,98
0.46234903940898353,0.44266202838023083,-8.069622920125406,1.5622366123110897e-12,431.0,XRP,24,51
0.5024247689720595,0.49557200906331067,-9.041858757545077,5.1080744294449995e-15,431.0,DOGE,30,78
0.5848148761041904,0.6007376131430536,-8.990717266586472,6.903930158697923e-15,431.0,AVAX,25,51
0.6097432941388927,0.6097266589778167,-9.253766636958815,1.468314464874318e-15,431.0,LINK,32,78
0.459593001282762,0.4736963668383367,-8.053419008118114,1.7177002791645874e-12,431.0,LTC,16,39
0.45955547042851663,0.4629263510018521,-8.423632432318724,1.9532268006416839e-13,431.0,BCH,28,63
0.429045803849814,0.4714035360910769,-7.750563348268103,1.0046490904057691e-11,431.0,DOT,21,68
0.5585385179323873,0.5639280106108293,-8.82699293124732,1.812279369686858e-14,431.0,AAVE,32,73
0.5467235732058996,0.5637549737618768,-7.694827418529592,1.3882369527879574e-11,431.0,ARB,24,63
0.6443354118630079,0.67141667984389,-8.78681541284362,2.2967469688366375e-14,431.0,OP,32,87
0.543007000772104,0.5474057392383072,-6.907824647050927,1.2341915642476746e-09,431.0,UNI,32,80
0.5175738481114689,0.5282349206311407,-6.284341809534847,3.7297234789677734e-08,431.0,NVDA,19,39
0.30959477272565544,0.31662512846750757,-10.215237367001446,5.5037032341782295e-18,431.0,TSLA,30,60
0.49679576701667727,0.5145101946895485,-5.710707875433437,7.310893208625646e-07,431.0,AMD,30,90
0.22580105110448764,0.22297627157914823,-10.89429913134761,1.20309331906977e-19,431.0,META,26,47
0.2174109786415321,0.2293594776962652,-6.89133389832697,1.3532435169676255e-09,431.0,MSFT,18,41
0.24349614090502325,0.21718345375417214,-9.971790297679346,2.2304005060405005e-17,431.0,AAPL,28,59
0.18802355039498891,0.15967683062504479,-9.68447680792758,1.1805951086054416e-16,431.0,GOOGL,26,61
0.24671140314493833,0.24563238610449167,-9.269097936820694,1.3418444537230057e-15,431.0,AMZN,28,79
