avg_r2,median_r2,adf_stat,adf_p_value,residual_obs,asset,trades,active_days
0.694679476855289,0.7042302163793593,-7.684860910113158,1.4707927024230966e-11,905.0,MSTR,36,174
0.7003992902084213,0.718155634563584,-6.955253826727748,9.465254289744238e-10,905.0,COIN,38,168
0.653578305652126,0.6533001480963044,-8.051513737916483,1.736964167275687e-12,905.0,MARA,46,208
0.6578959898394277,0.6742670359817466,-8.255461681955039,5.25194257417911e-13,905.0,RIOT,42,171
0.666237607933399,0.6655986247454594,-6.0388923627861635,1.360960653133885e-07,905.0,CLSK,40,193
0.7167146181469388,0.7236348386945645,-7.900489747792377,4.198009769222897e-12,905.0,HOOD,40,180
0.6750038440850499,0.7067610161559919,-7.33035065829423,1.132142642233465e-10,905.0,SQ,36,181
0.5459945470064345,0.5490676122686489,-7.968652651818131,2.8199257821316197e-12,905.0,SOL,29,152
0.4665584885074961,0.4899856623432248,-6.708394738583547,3.7342425619231055e-09,905.0,BNB,34,199
0.5463156356378611,0.5489046394364363,-7.730932889204085,1.12592591283372e-11,905.0,ADA,48,182
0.5031888935920389,0.5019851136365969,-7.855380375328436,5.4605484395851916e-12,905.0,XRP,36,152
0.40586566186300094,0.39597442363224566,-7.667872786423856,1.622912176906003e-11,905.0,DOGE,42,223
0.5304824668968299,0.5459563861379171,-7.121016386310829,3.722479300610103e-10,905.0,AVAX,36,151
0.5037486429091377,0.49818046884721956,-8.772917881088627,2.492892884649726e-14,905.0,LINK,46,180
0.5663024449664936,0.5723635436763024,-6.367139818537848,2.3944062648266878e-08,905.0,LTC,36,111
0.5580145183275542,0.5605521257121209,-8.24699691418344,5.519713611115896e-13,905.0,BCH,48,205
0.49892897035047185,0.5093923027102212,-7.815994467182485,6.8679027774951926e-12,905.0,DOT,28,132
0.4760093606869147,0.4764783602415127,-7.529473835247744,3.610488649857263e-11,905.0,AAVE,38,177
0.5358234631040839,0.5472994587295095,-8.045943547075575,1.794526848299961e-12,905.0,ARB,32,148
0.5766330522071443,0.561981254391321,-7.959631489359547,2.9725201489266443e-12,905.0,OP,36,158
0.5055887890927682,0.5089699153753637,-7.880438144798056,4.718679629126303e-12,905.0,UNI,41,169
0.5109332139853094,0.5230867302241022,-8.167889520276347,8.782259406889763e-13,905.0,NVDA,36,194
0.33111838997933474,0.3325426765962527,-7.797209319813145,7.660956525736182e-12,905.0,TSLA,39,190
0.4726790188529053,0.4721184178964475,-6.950459568762949,9.722927862970356e-10,905.0,AMD,32,174
0.44491270213972917,0.4698691993234524,-9.58551630918444,2.10247235327046e-16,905.0,META,47,131
0.3584740190159155,0.3558519933874329,-7.741378291100101,1.0596855626002243e-11,905.0,MSFT,38,179
0.2947439135080152,0.2907010608464544,-7.375559559530981,8.74145391829817e-11,905.0,AAPL,26,149
0.3648821693840928,0.3592959878820827,-7.168564313137553,2.843761123002357e-10,905.0,GOOGL,34,218
0.33744472092045696,0.3274977618780577,-7.792296103070543,7.882998398124588e-12,905.0,AMZN,38,177
