cost_multiplier,annual_return,annual_volatility,sharpe,max_drawdown,total_transaction_cost,total_borrow_cost,total_funding_cost
0.5,-0.008741166417200352,0.0060050303496317235,-1.4556406726131585,-0.0425884784322621,0.02000618824436037,0.0004854759239049224,0.0011288428818176546
1.0,-0.012744199981675863,0.006028274256669321,-2.114071032447876,-0.06154737550588951,0.04001237648872074,0.0004854759239049224,0.0011288428818176546
2.0,-0.020702243702425016,0.00611091065884156,-3.3877510011493968,-0.09834817537510532,0.08002475297744148,0.0004854759239049224,0.0011288428818176546
3.0,-0.028596679227738786,0.006240033362600123,-4.582776656152845,-0.13370823614065308,0.12003712946616224,0.0004854759239049224,0.0011288428818176546
