module,annual_return,annual_volatility,sharpe,calmar,max_drawdown,win_rate,profit_factor,avg_win_loss,avg_daily_return,mean_basis,basis_volatility,active_days,turnover,basis_source,avg_selected_factors,selection_days,lasso_sharpe,lasso_avg_selected_factors,avg_probability,static_pair_sharpe,accuracy,precision,recall,positive_rate,predicted_positive_rate
basis,-0.000903845142805948,0.0001963703545565122,-4.60275760486971,-0.3450295460623858,-0.002619616647678402,0.049247606019151846,0.04008871227977213,0.19487568469333677,-3.588226110242652e-06,-0.00016045311454746086,0.0004433492374414145,193.0,0.001969904240766074,binance_real,,,,,,,,,,,
dynamic,0.00011033334224186397,0.0010296280278147653,0.10715844874195037,0.10007869987848285,-0.0011024657831869566,0.04590818363273453,1.0537477260081458,2.290755926104665,4.399056353323931e-07,,,54.0,,,1.8759124087591241,411.0,-0.5283025030609295,1.8394160583941606,,,,,,,
ml,-0.00011636642136703124,0.0005150486089947642,-0.2259328912549576,-0.1821695450810608,-0.0006387808747903012,0.014742014742014743,0.8418181004309471,3.437423910093034,-4.612726188409721e-07,,,36.0,,,,,,,0.4872848844965093,-0.0730107918864811,,,,,
ml_classifier,,,,,,,,,,,,,,,,,,,,,0.6796875,0.7222222222222222,0.6,0.4913294797687861,0.421875
