entry_z,exit_z,regression_window,zscore_window,annual_return,annual_volatility,sharpe,max_drawdown,avg_gross_leverage
1.5,0.25,60,30,-0.012362749431553688,0.006512604221106386,-1.8982804745738806,-0.05610531845705047,0.030949185166518338
1.5,0.25,60,60,-0.010421182140296636,0.006159396809143175,-1.6919160208719062,-0.047406558620398886,0.02482565261945002
1.5,0.25,60,90,-0.007614720748026604,0.006232104701414353,-1.2218537898277722,-0.035288682302036856,0.021437912800592835
1.5,0.25,90,30,-0.011030079000090343,0.006632675363909452,-1.6629909342629063,-0.049784186306159106,0.03059419783937255
1.5,0.25,90,60,-0.00795947781218409,0.005778005425128571,-1.3775476529613984,-0.03767981591515446,0.024140504269018752
1.5,0.25,90,90,-0.004306987559363318,0.00555811187903223,-0.7749011990225076,-0.025274454291823623,0.021060802364128172
1.5,0.25,120,30,-0.009454721267892818,0.006185759185993184,-1.5284657846528777,-0.04255786439770237,0.028586194935440446
1.5,0.25,120,60,-0.006070214455510037,0.005949268718926823,-1.02032951313805,-0.029339938051855197,0.022182784036122512
1.5,0.25,120,90,-0.005000533246809158,0.005800607461008836,-0.8620706159522592,-0.024975104226881872,0.019208219025564084
1.5,0.5,60,30,-0.01249788067242985,0.005797739344499065,-2.155647215200857,-0.05643811858885028,0.02248698156817356
1.5,0.5,60,60,-0.01121671526879342,0.00554786955447871,-2.021805876769099,-0.05007033033861186,0.01854343582255134
1.5,0.5,60,90,-0.00954323304609661,0.0056591849327020756,-1.6863264161858782,-0.04288921912724253,0.016335378200001822
1.5,0.5,90,30,-0.010711582099385941,0.005733414263394736,-1.868272831386799,-0.04869152813552735,0.021646095945699564
1.5,0.5,90,60,-0.010128079844962001,0.0057423983865342925,-1.7637368853947797,-0.045198996030915706,0.01801067237751989
1.5,0.5,90,90,-0.007888165597021768,0.0052423018260460835,-1.5047141234466619,-0.035823539369845725,0.015257531169250946
1.5,0.5,120,30,-0.010083491381343013,0.005517074295483532,-1.8276881624736698,-0.045375541789731244,0.02063676822532229
1.5,0.5,120,60,-0.0066240179785007625,0.005348481348819076,-1.2384857581981323,-0.030634042383883564,0.016620624826324808
1.5,0.5,120,90,-0.008195100411134804,0.005021244190659638,-1.6320856146329379,-0.036497208961298155,0.014035219728528685
1.5,1.0,60,30,-0.012918911256890597,0.005233804838170104,-2.468359378376714,-0.05726525434058172,0.01663737800092151
1.5,1.0,60,60,-0.011184108423304528,0.004972802521092011,-2.2490554120875355,-0.04928330518179391,0.013530118839323957
